,gucci,patek,versace,balenciaga,saint laurent
2017-05-31,73.25,35.833333333333336,62.5,72.45833333333333,15.541666666666666
2017-06-01,70.83333333333333,37.666666666666664,60.0,72.08333333333333,7.5
2017-06-02,71.91666666666667,40.458333333333336,59.083333333333336,73.20833333333333,5.708333333333333
2017-06-03,76.08333333333333,43.0,71.79166666666667,76.66666666666667,5.75
2017-06-04,84.47272727272727,73.63636363636364,82.87272727272727,82.18181818181819,32.45454545454545
2017-06-05,71.625,62.416666666666664,70.45833333333333,70.58333333333333,45.458333333333336
2017-06-06,72.29166666666667,64.16666666666667,68.08333333333333,75.79166666666667,45.208333333333336
2017-06-07,72.95833333333333,64.16666666666667,68.83333333333333,74.66666666666667,44.833333333333336
2017-06-08,70.58333333333333,67.625,64.25,68.66666666666667,42.375
2017-06-09,70.70833333333333,65.125,67.875,68.95833333333333,43.125
2017-06-10,78.04166666666667,74.875,74.58333333333333,75.04166666666667,44.25
2017-06-11,88.27272727272727,76.6,80.41818181818182,78.25454545454545,58.70909090909091
2017-06-12,71.25,66.375,65.125,71.20833333333333,67.625
2017-06-13,69.25,65.66666666666667,64.16666666666667,69.16666666666667,66.875
2017-06-14,70.33333333333333,67.29166666666667,66.875,69.29166666666667,70.625
2017-06-15,70.75,77.75,69.375,69.75,67.25
2017-06-16,70.04166666666667,76.29166666666667,73.20833333333333,70.95833333333333,66.75
2017-06-17,78.5,79.08333333333333,77.54166666666667,76.29166666666667,70.625
2017-06-18,84.0909090909091,78.87272727272727,64.0909090909091,70.74545454545455,66.34545454545454
2017-06-19,64.79166666666667,63.333333333333336,42.541666666666664,62.416666666666664,72.75
2017-06-20,64.375,62.875,40.75,63.833333333333336,71.875
2017-06-21,63.166666666666664,61.208333333333336,44.083333333333336,69.54166666666667,71.625
2017-06-22,63.083333333333336,60.833333333333336,52.541666666666664,73.83333333333333,68.125
2017-06-23,64.41666666666667,72.75,48.958333333333336,75.25,71.41666666666667
2017-06-24,72.08333333333333,79.33333333333333,48.5,81.58333333333333,72.04166666666667
2017-06-25,70.9090909090909,79.14545454545454,73.9090909090909,78.30909090909091,67.58181818181818
2017-06-26,59.125,67.375,71.54166666666667,70.75,71.5
2017-06-27,55.208333333333336,64.91666666666667,71.375,73.45833333333333,70.125
2017-06-28,55.166666666666664,64.16666666666667,68.79166666666667,74.95833333333333,71.83333333333333
2017-06-29,54.041666666666664,63.75,67.33333333333333,72.0,70.29166666666667
2017-06-30,54.916666666666664,64.66666666666667,68.66666666666667,70.375,70.04166666666667
2017-07-01,61.083333333333336,70.20833333333333,77.04166666666667,74.29166666666667,77.54166666666667
2017-07-02,78.12727272727273,86.36363636363636,39.21818181818182,79.10909090909091,50.236363636363635
2017-07-03,67.0,70.375,16.333333333333332,74.33333333333333,48.291666666666664
2017-07-04,66.45833333333333,70.41666666666667,16.541666666666668,72.58333333333333,49.0
2017-07-05,62.583333333333336,68.125,16.458333333333332,67.54166666666667,48.333333333333336
2017-07-06,63.333333333333336,68.41666666666667,16.833333333333332,73.29166666666667,46.875
2017-07-07,64.41666666666667,72.54166666666667,17.833333333333332,73.83333333333333,52.75
2017-07-08,72.04166666666667,80.91666666666667,25.541666666666668,76.79166666666667,52.125
2017-07-09,77.14545454545454,69.58181818181818,52.72727272727273,66.94545454545455,53.54545454545455
2017-07-10,60.708333333333336,58.083333333333336,48.916666666666664,57.916666666666664,57.166666666666664
2017-07-11,60.375,63.375,54.0,58.791666666666664,55.583333333333336
2017-07-12,59.791666666666664,69.33333333333333,47.833333333333336,61.333333333333336,55.25
2017-07-13,62.25,72.41666666666667,49.583333333333336,61.666666666666664,55.208333333333336
2017-07-14,65.79166666666667,73.95833333333333,54.041666666666664,64.875,55.5
2017-07-15,69.125,79.70833333333333,72.20833333333333,71.41666666666667,54.5
2017-07-16,81.83636363636364,75.36363636363636,84.7090909090909,65.58181818181818,56.8
2017-07-17,68.875,61.833333333333336,67.04166666666667,54.833333333333336,66.54166666666667
2017-07-18,68.5,68.75,67.75,50.333333333333336,67.04166666666667
2017-07-19,68.75,68.70833333333333,64.45833333333333,50.208333333333336,66.91666666666667
2017-07-20,67.875,65.625,61.916666666666664,47.5,66.25
2017-07-21,68.04166666666667,77.625,62.958333333333336,48.5,73.08333333333333
2017-07-22,75.625,76.20833333333333,66.66666666666667,54.125,68.66666666666667
2017-07-23,81.58181818181818,68.76363636363637,35.054545454545455,66.89090909090909,61.43636363636364
2017-07-24,65.875,53.041666666666664,14.291666666666666,74.20833333333333,64.70833333333333
2017-07-25,67.20833333333333,52.5,21.291666666666668,73.45833333333333,63.833333333333336
2017-07-26,66.54166666666667,54.916666666666664,14.958333333333334,72.625,65.16666666666667
2017-07-27,66.875,59.041666666666664,14.666666666666666,71.33333333333333,65.33333333333333
2017-07-28,70.20833333333333,59.125,15.083333333333334,70.375,66.16666666666667
2017-07-29,77.08333333333333,60.666666666666664,17.5,76.70833333333333,69.5
2017-07-30,81.01818181818182,76.58181818181818,62.81818181818182,85.41818181818182,22.436363636363637
2017-07-31,65.75,70.91666666666667,65.08333333333333,68.45833333333333,3.5833333333333335
2017-08-01,64.83333333333333,69.54166666666667,63.458333333333336,70.20833333333333,2.7916666666666665
2017-08-02,67.375,73.08333333333333,65.375,68.70833333333333,2.75
2017-08-03,68.125,74.375,62.666666666666664,68.58333333333333,2.75
2017-08-04,69.625,79.66666666666667,61.916666666666664,68.375,2.7083333333333335
2017-08-05,75.29166666666667,83.83333333333333,69.20833333333333,75.75,2.8333333333333335
2017-08-06,84.61818181818182,75.58181818181818,79.03636363636363,77.18181818181819,24.345454545454544
2017-08-07,68.04166666666667,70.33333333333333,62.75,69.54166666666667,34.5
2017-08-08,66.625,69.875,62.833333333333336,69.375,34.625
2017-08-09,66.33333333333333,72.5,64.0,68.125,35.166666666666664
2017-08-10,66.75,70.95833333333333,66.875,68.95833333333333,42.708333333333336
2017-08-11,66.875,72.125,73.04166666666667,68.25,34.5
2017-08-12,72.95833333333333,78.25,74.125,73.33333333333333,38.25
2017-08-13,79.27272727272727,84.94545454545455,43.41818181818182,77.6,44.32727272727273
2017-08-14,62.208333333333336,70.66666666666667,41.708333333333336,68.875,50.333333333333336
2017-08-15,64.125,75.625,33.041666666666664,74.16666666666667,49.416666666666664
2017-08-16,64.29166666666667,71.45833333333333,28.375,71.875,50.083333333333336
2017-08-17,63.875,79.79166666666667,27.291666666666668,71.83333333333333,49.875
2017-08-18,67.70833333333333,81.75,27.916666666666668,71.33333333333333,50.083333333333336
2017-08-19,75.04166666666667,84.0,32.125,77.125,53.916666666666664
2017-08-20,85.65454545454546,82.96363636363637,71.94545454545455,86.38181818181818,59.96363636363636
2017-08-21,69.0,65.875,68.125,68.0,60.166666666666664
2017-08-22,67.83333333333333,67.45833333333333,68.45833333333333,70.41666666666667,61.625
2017-08-23,68.83333333333333,67.45833333333333,69.25,72.45833333333333,60.666666666666664
2017-08-24,70.66666666666667,67.75,67.79166666666667,75.375,60.875
2017-08-25,71.625,73.79166666666667,70.75,77.54166666666667,63.083333333333336
2017-08-26,75.79166666666667,77.08333333333333,75.29166666666667,79.95833333333333,65.45833333333333
2017-08-27,64.72727272727273,76.83636363636364,77.65454545454546,70.18181818181819,62.472727272727276
2017-08-28,55.833333333333336,70.33333333333333,54.916666666666664,66.25,72.0
2017-08-29,52.791666666666664,71.16666666666667,57.416666666666664,67.125,73.29166666666667
2017-08-30,53.458333333333336,76.0,55.875,68.95833333333333,74.91666666666667
2017-08-31,53.041666666666664,74.83333333333333,54.583333333333336,68.875,72.83333333333333
2017-09-01,53.375,76.625,55.916666666666664,67.33333333333333,73.125
2017-09-02,59.416666666666664,84.08333333333333,63.791666666666664,74.66666666666667,77.70833333333333
2017-09-03,78.58181818181818,72.65454545454546,57.127272727272725,71.6,37.92727272727273
2017-09-04,68.08333333333333,59.333333333333336,41.833333333333336,60.875,29.333333333333332
2017-09-05,62.666666666666664,57.625,38.583333333333336,57.208333333333336,28.041666666666668
2017-09-06,62.375,57.666666666666664,44.416666666666664,56.875,29.25
2017-09-07,64.95833333333333,60.416666666666664,40.416666666666664,61.708333333333336,29.083333333333332
2017-09-08,63.916666666666664,68.58333333333333,39.208333333333336,62.333333333333336,55.875
2017-09-09,71.54166666666667,71.33333333333333,43.666666666666664,67.375,41.541666666666664
2017-09-10,79.61818181818182,69.50909090909092,78.38181818181818,71.65454545454546,17.345454545454544
2017-09-11,64.66666666666667,65.375,72.0,65.20833333333333,12.25
2017-09-12,64.29166666666667,64.33333333333333,70.41666666666667,66.29166666666667,10.5
2017-09-13,65.375,65.0,69.41666666666667,66.0,17.541666666666668
2017-09-14,68.66666666666667,69.04166666666667,72.875,68.95833333333333,11.375
2017-09-15,71.95833333333333,72.91666666666667,74.04166666666667,69.0,11.208333333333334
2017-09-16,78.66666666666667,82.16666666666667,82.54166666666667,75.25,11.583333333333334
2017-09-17,84.14545454545454,72.56363636363636,53.03636363636364,51.61818181818182,35.63636363636363
2017-09-18,69.41666666666667,66.875,32.333333333333336,42.708333333333336,46.416666666666664
2017-09-19,70.20833333333333,63.083333333333336,31.041666666666668,41.916666666666664,46.541666666666664
2017-09-20,71.95833333333333,59.333333333333336,32.375,44.666666666666664,49.666666666666664
2017-09-21,71.66666666666667,59.916666666666664,31.666666666666668,61.208333333333336,46.916666666666664
2017-09-22,71.16666666666667,63.583333333333336,47.625,70.79166666666667,47.75
2017-09-23,77.29166666666667,66.91666666666667,76.41666666666667,68.70833333333333,50.041666666666664
2017-09-24,85.83636363636364,68.25454545454545,73.83636363636364,73.47272727272727,47.69090909090909
2017-09-25,70.875,66.20833333333333,57.083333333333336,61.958333333333336,53.625
2017-09-26,68.20833333333333,67.83333333333333,52.541666666666664,58.708333333333336,52.833333333333336
