,Tot_Streams,Best_Rank,Top_Category,%Stream,Best_Rank_Moment,Best_Rank_Moment_5_Day
2017-06-13,547200,40,5,0.005426546594538554,-1.0,-0.4
2017-06-14,561726,38,5,0.005506990446377533,1.0,0.0
2017-06-15,562205,41,5,0.005471929848108384,-1.0,-0.4
2017-06-16,572368,40,5,0.005172561238474378,1.0,-0.2
2017-06-17,542174,40,5,0.005067677204850009,0.0,0.0
2017-06-18,493639,38,5,0.00517276861054872,1.0,0.4
2017-06-19,523815,42,5,0.0050927810961845866,-1.0,0.0
2017-06-20,528958,44,5,0.005077941210761977,-1.0,0.0
2017-06-21,517076,44,5,0.004981540661364659,0.0,-0.2
2017-06-22,510574,46,5,0.005003870748944618,-1.0,-0.4
2017-06-23,509943,47,5,0.004687722217698933,-1.0,-0.8
2017-06-24,492093,45,5,0.004794929980749071,1.0,-0.4
2017-06-25,455446,44,5,0.004969123030838826,1.0,0.0
2017-06-26,475383,47,5,0.0047182249533986665,-1.0,-0.2
2017-06-27,473869,48,5,0.004723167451864471,-1.0,-0.2
2017-06-28,482527,45,5,0.004829171245991074,1.0,0.2
2017-06-29,490810,44,5,0.004888573278439532,1.0,0.2
2017-06-30,500569,47,5,0.00464580676052223,-1.0,-0.2
2017-07-01,481590,43,5,0.004714295569034975,1.0,0.2
2017-07-02,433303,44,5,0.004759287702672254,-1.0,0.2
2017-07-03,449978,46,5,0.004734189959906079,-1.0,-0.2
2017-07-04,433750,48,5,0.004483478935711512,-1.0,-0.6
2017-07-05,428850,48,5,0.004460359989793956,0.0,-0.4
2017-07-06,444746,47,5,0.004542566070494151,1.0,-0.4
2017-07-07,455091,53,5,0.004372628281456516,-1.0,-0.4
2017-07-08,421287,54,5,0.004230426736302597,-1.0,-0.4
2017-07-09,381547,54,5,0.004241813674376278,0.0,-0.2
2017-07-10,390926,55,5,0.004068566977724646,-1.0,-0.4
2017-07-11,388303,55,5,0.004006217089149929,0.0,-0.6
2017-07-12,385942,55,5,0.003968396615670522,0.0,-0.4
2017-07-13,389618,57,5,0.0039382863858081875,-1.0,-0.4
